"","GS.Adjusted"
"1482",107.05294
"1483",106.8629
"1484",106.509964
"1485",108.871834
"1486",109.441948
"1487",107.152451
"1488",108.442932
"1489",107.897659
"1490",107.043411
"1491",107.597763
"1492",105.943825
"1493",106.443626
"1494",106.507256
"1495",105.934723
"1496",106.334572
"1497",108.015816
"1498",107.316055
"1499",107.688637
"1500",108.470169
"1501",112.223396
"1502",116.112907
"1503",115.640327
"1504",117.884979
"1505",116.721779
"1506",115.903885
"1507",115.55854
"1508",115.113274
"1509",114.068169
"1510",115.92205
"1511",119.64798
"1512",118.993683
"1513",122.237961
"1514",122.01075
"1515",120.911171
"1516",122.065277
"1517",124.837021
"1518",124.618935
"1519",123.710197
"1520",123.219444
"1521",128.217636
"1522",128.144928
"1523",131.271103
"1524",132.634201
"1525",132.279816
"1526",131.734573
"1527",131.280182
"1528",130.998459
"1529",133.679291
"1530",133.724762
"1531",134.36998
"1532",136.223846
"1533",134.060989
"1534",136.723679
"1535",137.33255
"1536",136.550995
"1537",137.768738
"1538",138.350403
"1539",140.049759
"1540",140.422348
"1541",141.703674
"1542",140.849472
"1543",144.175537
"1544",141.02211
"1545",137.114471
"1546",140.031555
"1547",134.179108
"1548",134.954178
"1549",138.282501
"1550",136.559052
"1551",137.261169
"1552",138.765762
"1553",139.477051
"1554",140.5439
"1555",142.814407
"1556",139.49527
"1557",139.787003
"1558",138.464844
"1559",138.519592
"1560",140.443573
"1561",141.191284
"1562",138.556015
"1563",135.720169
"1564",136.896469
"1565",132.565186
"1566",133.677628
"1567",133.230804
"1568",133.62291
"1569",134.808319
"1570",134.179153
"1571",133.166977
"1572",133.75058
"1573",130.768829
"1574",130.385834
"1575",131.024124
"1576",131.142685
"1577",133.604675
"1578",136.285522
"1579",135.929886
"1580",135.975494
"1581",133.549973
"1582",131.39801
"1583",128.206497
"1584",126.382774
"1585",126.49221
"1586",127.221695
"1587",130.34024
"1588",131.242981
"1589",131.999817
"1590",131.407089
"1591",132.318909
"1592",133.194366
"1593",130.039352
"1594",131.005905
"1595",132.556015
"1596",135.364532
"1597",136.157837
"1598",137.014984
"1599",135.44664
"1600",135.95726
"1601",136.440536
"1602",140.899475
"1603",141.893402
"1604",140.853897
"1605",144.236893
"1606",144.893417
"1607",146.562088
"1608",145.294632
"1609",143.53476
"1610",144.729279
"1611",146.997803
"1612",148.982788
"1613",150.336578
"1614",148.260147
"1615",149.613907
"1616",147.894226
"1617",144.802444
"1618",146.064789
"1619",151.855042
"1620",153.208878
"1621",149.385269
"1622",148.058914
"1623",151.681229
"1624",149.028503
"1625",150.117065
"1626",150.153641
"1627",147.7845
"1628",142.15889
"1629",141.097809
"1630",137.92366
"1631",140.009247
"1632",138.728638
"1633",140.420853
"1634",138.353577
"1635",138.810959
"1636",138.051697
"1637",137.60347
"1638",140.17392
"1639",140.695328
"1640",143.558395
"1641",142.543106
"1642",144.262787
"1643",146.45813
"1644",149.101715
"1645",146.577042
"1646",147.729599
"1647",150.071304
"1648",150.345718
"1649",152.074585
"1650",152.08374
"1651",150.967773
"1652",151.763611
"1653",151.169022
"1654",149.257172
"1655",148.580292
"1656",150.043915
"1657",153.208878
"1658",153.32782
